"dataset","n_features","n_rows"
"airfoil_self-noise",0,700
"appliances_energy_prediction",0,700
"auto_mpg",0,700
"automobile",0,700
"beijing_pm2.5",0,700
"bike_sharing",0,700
"combined_cycle_power_plant",0,700
"communities_and_crime",0,700
"communities_and_crime_unnormalized",0,700
"communities_and_crime_unnormalized_(target_2)",0,700
"communities_and_crime_unnormalized_(target_3)",0,700
"communities_and_crime_unnormalized_(target_4)",0,700
"communities_and_crime_unnormalized_(target_5)",0,700
"communities_and_crime_unnormalized_(target_6)",0,700
"communities_and_crime_unnormalized_(target_7)",0,700
"communities_and_crime_unnormalized_(target_8)",0,700
"communities_and_crime_unnormalized_(target_9)",0,700
"communities_and_crime_unnormalized_(target_10)",0,700
"communities_and_crime_unnormalized_(target_11)",0,700
"communities_and_crime_unnormalized_(target_12)",0,700
"communities_and_crime_unnormalized_(target_13)",0,700
"communities_and_crime_unnormalized_(target_14)",0,700
"communities_and_crime_unnormalized_(target_15)",0,700
"communities_and_crime_unnormalized_(target_16)",0,700
"communities_and_crime_unnormalized_(target_17)",0,700
"communities_and_crime_unnormalized_(target_18)",0,700
"concrete_compressive_strength",0,700
"daily_demand_forecasting_orders",0,700
"facebook_metrics",0,700
"forest_fires",0,700
"infrared_thermography_temperature",0,700
"infrared_thermography_temperature_(target_2)",0,700
"liver_disorders",0,700
"metro_interstate_traffic_volume",0,700
"parkinsons_telemonitoring",0,700
"parkinsons_telemonitoring_(target_2)",0,700
"power_consumption_of_tetouan_city",0,700
"power_consumption_of_tetouan_city_(target_2)",0,700
"power_consumption_of_tetouan_city_(target_3)",0,700
"real_estate_valuation",0,700
"servo",0,700
"stock_portfolio_performance",0,700
"stock_portfolio_performance_(target_2)",0,700
"stock_portfolio_performance_(target_3)",0,700
"stock_portfolio_performance_(target_4)",0,700
"stock_portfolio_performance_(target_5)",0,700
"stock_portfolio_performance_(target_6)",0,700
"superconductivity_data",0,700
